gai	gai,gãi,gài,gại,gái
chung	chúng,chung,chưng,chứng,chững,chựng,chủng,chừng,chửng,chùng
at	ắt,át,ạt,ất
ap	ắp,áp,ấp
ang	ậng,ăng,áng,ầng,ảng,ẳng,ắng,ang,ằng
nang	năng,náng,nạng,nấng,nằng,nang,nâng,nẫng,nắng,nặng,nàng
rang	rằng,ràng,rảng,rang,rặng,răng,ráng,rạng
trien	triện,triền,triển
trieu	triệu,triều
triet	triệt,triết
dui	dui,dũi,đùi,đũi,đui,đúi,đủi,dụi,dúi,dùi
hoan	hoán,hoạn,hoằn,hoan,hoãn,hoàn
hoac	hoác,hoắc,hoặc
hoay	hoáy,hoay
ran	rân,rạn,rặn,rán,rận,ràn,ran,răn,rấn,rần,rắn,rằn
do	đơ,đó,đò,đõ,đô,đo,đỡ,đợ,đố,đồ,đổ,đỗ,độ,đớ,đờ,đọ,đỏ,do,dô,dò,dơ,dợ,dỡ,dỏ,dọ,dở,dờ,dớ,dỗ,dồ,dó
khum	khum,khúm
khui	khui
khua	khua,khứa,khựa
khuy	khuy,khụy
pham	phăm,phẩm,phầm,phạm,phàm
khue	khuê
quam	quặm,quăm,quằm,quắm
quap	quặp,quắp
khuo	khuơ
gioi	giối,giới,giọi,giội,giói,gioi,giời,giổi,giỏi
xuenh	xuềnh
giot	giốt,giọt
video	video
loang	loảng,loăng,loãng,loạng,loáng,loàng,loằng,loang
chuyen	chuyên,chuyện,chuyến,chuyền,chuyển
goy	gòy,gồy
cong	cống,cõng,cọng,cổng,công,cóng,cong,cồng,còng,cộng
gon	gòn,gợn,gôn,gon,gờn,gọn
goi	gòi,gợi,gồi,gói,gởi,gỏi,gối,gọi,gội
choi	choi,chòi,chội,chời,chói,chọi,chơi,chới,chối,chỏi,chồi,chổi
dich	dịch,địch,đích,dích
ngom	ngỏm,ngợm,ngổm,ngờm,ngòm,ngóm,ngồm
ngon	ngỏn,ngổn,ngơn,ngớn,ngòn,ngốn,ngon,ngón,ngọn,ngôn,ngồn,ngộn
bem	bẻm,bèm
beo	bẻo,beo,bẽo,bẹo,béo,bèo
dan	dẩn,đắn,dân,dăn,đẵn,dẳn,dán,đản,đạn,đẩn,đàn,dàn,đặn,đần,dấn,dạn,dằn,đán,dẫn,đận,dận,đẫn,dan,dãn,đan,dần,dặn
day	dẩy,dây,đấy,dãy,dấy,đày,đẩy,dáy,đầy,dạy,dày,dậy,đáy,dẫy,đậy,đẫy,đây,đay,dầy,day
dau	dẩu,dâu,đấu,dấu,đẩu,dàu,đầu,dậu,đáu,dẫu,đậu,đâu,đau,dầu
hen	hển,hẻn,hen,hến,hên,hẹn,hén,hèn
khang	khang,khẳng,khắng,kháng,khạng,khàng,khằng,khăng,khảng
khanh	khanh,khánh,khành,khảnh
khuay	khuấy,khuây
khuat	khuất
chom	chòm,chỗm,chờm,chơm,chỏm,chởm,chớm,chôm,chộm,chồm
set	sệt,sét
muong	muông,muỗng,mương,mường,muồng,muống
xoe	xòe,xoe,xọe
xoa	xòa,xoa,xõa,xỏa,xóa
chat	chất,chặt,chat,chật,chạt,chát,chắt
chau	chấu,chẩu,chầu,chau,chậu,chẫu,cháu,châu
tam	tấm,tâm,tắm,tằm,tăm,tám,tàm,tậm,tạm,tẩm,tầm,tam
tan	tấn,tần,tắn,tằn,tăn,tán,tàn,tản,tận,tân,tặn,tẩn,tan
tac	tấc,tắc,tặc,tác,tạc
chay	chấy,chảy,chầy,chay,chạy,chày,cháy,chây
chan	chấn,chẵn,chẩn,chăn,chần,chặn,chan,chận,chân,chạn,chằn,chán,chắn
cham	chấm,chẩm,chăm,chầm,chặm,chậm,chàm,chạm,chằm,chắm,chẫm,châm
tat	tất,tắt,tát,tật,tạt
tau	tấu,tâu,táu,tàu,tậu,tẩu,tầu,tau
da	đa,đá,đà,đã,đả,da,dã,dà,dá,dả,dạ
cung	cúng,cung,cưng,củng,cũng,cứng,cụng,cùng
nhon	nhờn,nhón,nhộn,nhon,nhồn,nhởn,nhổn,nhơn,nhòn,nhớn,nhỡn,nhốn,nhôn,nhọn
vanh	vành,vãnh,vảnh,vanh,vánh,vạnh
vang	vàng,văng,vãng,vằng,vảng,vầng,vang,vắng,vâng,vẳng,váng,vạng
phay	phay,phấy,phẩy,phảy,phây
phao	phao,pháo,phào
phai	phai,phải,phái
thuon	thuồn,thưỡn,thuỗn,thuôn,thuốn,thườn
hoach	hoạch
hit	hít
hip	híp,hip
hic	híc,hic
loan	loăn,loạn,loan,loàn
nom	nờm,nỡm,nom,nôm,nồm,nơm,nòm,nộm
duong	đương,dương,dưỡng,đường,dướng,dượng,dường
ngoam	ngoạm,ngoàm
dieu	điệu,diễu,diệu,diêu,điếu,diều,điểu,điều,điêu
dien	điện,điển,điền,diên,diện,điên,diễn
lung	lũng,lựng,lưng,lủng,lững,lừng,lúng,lùng,lụng,lung,lửng
nghech	nghếch,nghệch
rac	rạc,rặc,rác,rắc
rao	rạo,ráo,rào,rảo,rao,rão
ram	rạm,RAM,rặm,rầm,rám,răm,rẩm,rắm,râm,rậm,rấm,rẫm,rằm
rat	rạt,rặt,rát,rật,rắt,rất
rap	rạp,ráp,rập,rắp,rấp,rap
gay	gậy,gây,gảy,gãy,gấy,gay,gáy,gẫy,gầy
dang	dâng,đăng,đặng,dặng,đãng,đắng,đẳng,đàng,đang,dẳng,dàng,đấng,đảng,đáng,đằng,dáng,đẵng,dăng,dằng,dang,dạng
ngo	ngọ,ngỏ,ngổ,ngố,ngờ,ngộ,ngớ,ngỡ,ngợ,ngo,ngô,ngõ,ngò,ngó,ngơ,ngỗ,ngồ
ngi	ngỉ,ngi,ngĩ
ngu	ngụ,ngủ,ngữ,ngứ,ngừ,ngu,ngù,ngũ,ngư,ngự
khoi	khởi,khơi,khôi,khới,khối,khói,khỏi
manh	mạnh,mãnh,mành,manh,mánh,mảnh
dat	đắt,dát,dắt,đặt,đạt,dạt,đát,đật,dật,đất,dặt
dap	đắp,dấp,đạp,đáp,dập,đập
dac	đắc,dác,dắc,đặc,dạc,đác,đạc,dặc
dam	đắm,dăm,đấm,dâm,dấm,đạm,đảm,đàm,dàm,đam,dám,đầm,dạm,dằm,đám,dẫm,đậm,dặm,dậm,đẫm,đâm,đằm,dầm,đăm,dam
dak	đắk,đặk,đăk
nhot	nhợt,nhót,nhớt,nhột,nhốt,nhọt
nhoen	nhoẻn,nhoèn,nhoen
byt	být,byt
kep	kép,kếp,kẹp
ket	két,kết,kẹt
keo	kéo,keo,kèo,kẻo,kẹo,kẽo
ken	kén,kền,ken,kên,kèn
kem	kém,kềm,kem,kẽm,kèm
kec	kéc
gau	gâu,gấu,gẫu,gàu
toang	toạng,toáng,toàng,toang
rung	rung,rủng,rừng,rúng,rựng,rùng,rụng,rửng,rưng
tong	tong,tống,tổng,tọng,tông,tỏng,tồng,tòng
giang	giàng,giăng,giảng,giáng,giạng,giằng,giang
gianh	giành,gianh
mih	mih,mìh
min	min,mịn,mìn
dai	dải,đài,dài,đại,dại,đái,dãi,đai,dai,đãi
mieng	miếng,miệng,miểng
de	đệ,đẻ,đẽ,đé,đè,đê,đe,đề,để,đế,de,dê,dè,dé,dế,dẽ,dẻ,dệ,dễ,dề
dong	dồng,đồng,đông,đỏng,dông,dong,dộng,đòng,dọng,dóng,đống,đọng,đổng,động,đóng,dõng,dòng,dỏng,đong
vong	vổng,vống,vồng,vông,vỏng,vóng,võng,vòng,vọng,vong
hien	hiên,hiến,hiền,hiển,hiện
thuc	thực,thức,thục,thúc
om	ỡm,ớm,ỏm,om,ốm,ồm,ôm
phon	phơn,phỡn,phôn,phớn,phởn,phồn
phoi	phơi,phối,phôi,phoi,phổi,phới,phòi
gui	gui,gụi,gũi,gùi,gửi
toc	tốc,tộc,tọc,tóc
toi	tối,tòi,tới,tôi,tời,tội,tồi,tỏi,toi,tói,tơi
tot	tốt,tọt,tột,tót
top	tốp,tớp,tọp,TOP,tợp,tóp
thoa	thõa,thóa,thòa,thoa,thỏa
khoang	khoáng,khoảng,khoắng,khoang
tranh	tranh,trạnh,trành,tránh
trang	trang,trâng,trắng,trảng,tràng,trạng,tráng,trăng
chip	chip,chíp
chiu	chiu,chìu,chíu,chịu
luong	lướng,lường,luồng,luỗng,lượng,luông,luống,lưỡng,lương
chin	chin,chỉn,chín
chim	chim,chìm,chím
chia	chia,chìa,chĩa
loe	lòe,lóe,loe
log	lòg,log
loi	lòi,lỗi,lôi,lội,lồi,lỏi,lởi,lối,lợi,loi,lói,lới,lơi,lọi,lõi,lời
lom	lòm,lồm,lộm,lốm,lợm,lôm,lổm,lỏm,lởm,lỡm,lom,lóm,lớm,lọm,lõm,lờm
lon	lòn,lộn,lợn,lổn,lỏn,lởn,lốn,lon,lớn,lơn,lọn,lờn
nich	ních,nịch
tuong	tưởng,tướng,tương,tượng,tuồng,tường,tuông
bam	bẳm,bằm,bám,bậm,bầm,bặm,băm,bẩm,bấm,bẵm,bẫm
trui	trũi,trui,trụi,trùi
khung	khúng,khựng,khửng,khụng,khừng,khung,khủng,khùng
tum	tũm,tủm,túm,tum,tùm,tụm
ruong	ruộng,ruồng,ruỗng,rương,rường
ranh	rành,ranh,rãnh,rảnh
ngoen	ngoen,ngoẻn
phen	phên,phen,phèn
thia	thìa,thia,thía
thin	thìn,thín,thin
hoen	hoen,hoẻn
roi	rời,rọi,roi,rồi,rợi,rói,rỏi,ròi,rối,rỗi,rơi
ron	rờn,rợn,rộn,rôn,rón,rổn,ròn,rốn,rỡn,rơn
tham	thẫm,thậm,thẳm,thầm,thâm,thẩm,thảm,thám,thấm,thăm,thắm,tham
than	thẫn,thận,thần,thẩn,thân,thản,thán,thăn,thắn,thằn,than
dom	đom,dòm,đồm,đơm,dợm,đờm,dỏm,đôm,đóm,đốm,dom,dóm,đỏm
sung	sừng,súng,sững,sủng,sựng,sũng,sùng,sửng,sưng,sung
thoang	thoáng,thoắng,thoảng,thoang
duoc	dược,đước,đuốc,duộc,được,duốc
duot	dượt,đuột
ot	ớt,ợt,ót,ốt
oi	ới,ổi,ỏi,oi,ợi,ói,ơi,ôi,ời,ối
on	ớn,ổn,ỏn,ởn,ồn,ơn,ôn
ung	ứng,ùng,ưng,úng,ừng,ung,ủng,ửng
nguech	nguệch
choat	choắt
sau	sâu,sậu,sầu,sáu,sấu,sau
st	St,ST
sam	sâm,sậm,sầm,sạm,sàm,sẫm,sám,sấm,săm,sắm,sẩm,sam
nganh	ngảnh,ngạnh,ngành
chuon	chuồn
chuoi	chuồi,chuội,chuôi,chuối,chuỗi
van	vẩn,ván,vần,vặn,vàn,vận,van,văn,vãn,vẫn,vạn,vằn,vân,vắn,vấn
vau	vẩu,vầu,vấu
vay	vẩy,váy,vầy,vày,vậy,vay,vẫy,vạy,vây,vấy,vảy
giong	giọng,giông,giống,giong,giỏng,giồng,gióng
phech	phếch
nuong	nương,nuông,nướng
mot	một,mót,mốt,mọt
xot	xớt,xót,xốt
xon	xớn,xon,xọn,xộn,xôn,xơn,xón,xốn
sui	sùi,sui,sủi
chanh	chành,chạnh,chảnh,chanh,chánh
tuan	tuần,tuấn,tuân,tuẫn
xich	xịch,xích
xuyt	xuýt
coi	còi,cơi,cõi,cói,cỏi,cởi,coi,côi,cời,cội,cỗi,cỡi,cối
con	còn,cớn,cơn,cón,cốn,cỏn,cợn,cồn,con,côn,cọn,cờn,cỡn
com	còm,cớm,cọm,cơm,cóm,cồm,com,côm,cộm,cỡm,cốm
gang	gắng,găng,gặng,gang,gằng,gàng
kinh	kỉnh,kinh,kính,kình
keu	kều,kếu,kêu
bung	bủng,bừng,búng,bùng,bụng,bửng,bứng,bựng,bưng,bung
chiec	chiếc
chien	chiến,chiên,chiện,chiền
chiem	chiếm,chiêm
chiet	chiết
chieu	chiếu,chiều,chiêu,chiểu
chiep	chiếp
mat	mắt,mất,mạt,mặt,mát,mật
man	mắn,mãn,mấn,mẫn,màn,mạn,mặn,mần,mẩn,mận,mằn,mân,mẳn,man
mam	mắm,mậm,mẫm,mầm,mám,mâm,măm,mẩm
mac	mắc,mạc,mặc,mác
dtdd	ĐTDĐ,dtdd
toa	tòa,tọa,tỏa,toa,tóa
toe	tòe,toe,tóe,tõe
khen	khen,khèn
kheo	kheo,khéo
khem	khem
quay	quáy,quầy,quày,quậy,quay,quẩy,quẫy,quây,quấy
gung	gừng
chu	Chử,chù,chư,chủ,chứ,chừ,chữ,chu,chú
tieng	tiếng,tiêng
muc	múc,mức,mục,mực
nga	nga,ngà,ngã,ngả
chenh	chểnh,chệnh,chếnh,chềnh,chênh
kenh	kênh,kệnh,kềnh,kễnh
suu	sưu,sửu
nguong	ngượng,ngưỡng,ngường,ngưởng
hoi	hội,hòi,hời,hối,hoi,hơi,hổi,hôi,hởi,hỏi,hói,hỡi,hợi,hồi
nghinh	nghỉnh,nghinh,nghĩnh
nhai	nhải,nhài,nhai,nhại,nhãi,nhái
hot	hột,hốt,hớt,hót,hợt
xoan	xoắn,xoan,xoăn,xoẳn
khuya	khuya
thien	thiện,thiên,thiển,thiến,thiền
gan	gân,gàn,găn,gằn,gạn,gán,gắn,gặn,gần,gan
nhau	nhảu,nhậu,nhàu,nhẩu,nhâu,nhau,nhầu
thieu	thiệu,thiểu,thiếu,thiêu,thiều
thiet	thiệt,thiết
thiep	thiệp,thiếp
hnao	hnao,hnào
nhiep	nhiếp
det	dẹt,dệt,đét,đẹt,dết,đệt
dep	dẹp,đẹp,đệp,dép
deo	dẹo,đeo,đẽo,dẻo,deo,đèo
xom	xóm,xổm,xom,xơm,xồm,xôm,xờm
ong	ổng,óng,ống,ông,ong,ỏng,òng,õng,ồng
mem	mem,mém,mềm,mèm
meo	meo,méo,mẽo,mèo,mẹo
men	men,mến,mén,mên,mèn,mền
trot	trốt,trợt,trót,trọt,trớt
tron	trốn,trợn,trộn,trơn,trôn,trọn,tròn,trớn
troi	trối,trồi,trội,trói,trỗi,trơi,trôi,trọi,trời,tròi
truot	trượt
hang	hẫng,hạng,háng,hẵng,hằng,hẩng,hang,hàng,hắng,hăng,hảng,hãng
ro	rờ,rơ,rỡ,rô,rõ,rò,ró,ro,rổ,rỗ,rồ,rở,rộ,rớ,rọ,rỏ,rợ
dech	dệch,đếch
nhan	nhận,nhàn,nhản,nhẳn,nhẩn,nhãn,nhắn,nhần,nhân,nhấn,nhẵn,nhan,nhẫn,nhăn,nhạn,nhằn,nhặn
nhat	nhật,nhắt,nhạt,nhất,nhặt,nhát
nhap	nhập,nhắp,nhấp,nhạp,nháp
nhay	nhậy,nhày,nhảy,nhẩy,nhây,nhay,nhẫy,nhạy,nhầy,nháy
nua	nửa,nữa,nua,nứa,nưa
thung	thụng,thững,thưng,thừng,thung,thủng,thúng,thùng,thũng
ngoai	ngoái,ngoài,ngoại,ngoai,ngoải
ngoac	ngoác,ngoặc,ngoạc,ngoắc
ngoay	ngoáy,ngoạy,ngoay,ngoảy
got	gợt,gót,gọt,gột
xoanh	xoành
canh	canh,cạnh,cành,cánh,cảnh
hom	hòm,hôm,hỗm,hom,hớm,hơm,hõm,hờm,hổm,hỏm,hóm,hợm
hon	hòn,hờn,hỗn,hớn,hơn,hổn,hôn,hon,hởn,hỏn,hồn
hoe	hòe,họe,hoe
hoa	hòa,họa,hoa,hóa,hỏa
kieng	kiếng,kiễng,kiểng,kiêng,kiềng
khieng	khiệng,khiêng,khiễng
ga	gã,gả,gạ,ga,gá,gà
tram	trắm,trảm,trám,tràm,trầm,trăm,trẫm,trâm,trạm,trằm
trac	trắc,trặc,trác,trạc
trat	trắt,trát,trật,trạt
loat	loát,loạt,loắt
xong	xông,xong,xõng,xồng,xống
tuop	tướp
tuot	tướt,tuột,tuốt
tuoi	tưới,tươi,tưởi,tuổi,tuồi
tuoc	tước,tuộc,tược,tuốc
bom	bom,bôm,bơm,bợm,bờm,bồm,bõm,bỏm
bon	bon,bổn,bôn,bỡn,bốn,bón,bọn,bơn,bợn,bồn,bòn,bộn
chuot	chuốt,chuột
nhut	nhút,nhứt,nhụt
nhua	nhúa,nhụa,nhựa,nhừa
nhuc	nhúc,nhức,nhục
nhui	nhúi,nhụi,nhùi,nhủi
nhum	nhúm,nhum
nhun	nhún,nhùn,nhũn,nhun,nhủn
khuyen	khuyến,khuyên,khuyển
giap	giấp,giạp,giập,giáp
quanh	quành,quánh,quạnh,quanh
quang	quàng,quảng,quầng,quáng,quẩng,quạng,quãng,quăng,quẳng,quặng,quang
vung	vũng,vung,vững,vừng,vùng,vụng,vửng,vựng
boong	boóng,boong
vat	vắt,vát,vặt,vạt,vật,VAT,vất
sdt	sđt,sdt
len	lẻn,lẽn,lên,len,lẹn,lén,lèn
leo	lẻo,lẽo,léo,leo,lẹo,lèo
nguoc	ngước,ngược
nhung	nhung,những,nhưng,nhụng,nhùng,nhũng,nhúng,nhủng
tnay	tnày,tnay
khoam	khoặm,khoằm
thua	thưa,thùa,thừa,thửa,thủa,thua
phut	phút,phụt,phứt
phuc	phúc,phục,phức
phun	phún,phun,phùn
som	sòm,sọm,sớm,sơm
trong	trống,trổng,tròng,trồng,trông,trọng,trong,trộng
thuo	thưở,thuở
rot	rọt,rót,rớt,rốt
roc	rọc,rộc,róc,rốc
dung	đựng,dụng,đung,dung,dũng,đụng,đứng,đùng,đúng,dừng,dưng,dựng,đưng,dúng,dùng,đừng,đủng,dửng,đũng,dứng
thot	thớt,thọt,thót,thột,thốt
thoi	thới,thời,thói,thòi,thôi,thổi,thoi,thỏi,thơi,thối
thom	thớm,thóm,thòm,thồm,thỏm,thơm
phua	phựa,phứa
tinh	tĩnh,tính,tỉnh,tịnh,tinh,tình
rom	rôm,rộm,rởm,róm,rớm,ROM,rờm,rơm
thum	thùm,thủm,thum
thuy	thùy,thủy,thụy,thúy
go	gò,gỡ,gỗ,gổ,gồ,gở,gờ,gộ,go,gõ,gô
binh	bính,bĩnh,bỉnh,bịnh,binh,bình
quen	quên,quện,quén,quen,quèn
cuoc	cuộc,cược,cuốc,cước
cuoi	cuội,cưỡi,cuối,cười,cưới
cuon	cuộn,cuồn,cuốn
vet	vẹt,vệt,vét,vết
ven	vẹn,vện,vên,vẻn,vén,ven,vền
veo	vẹo,vẻo,véo,veo,vèo
vem	vẹm
thuoi	thưỡi
mua	mứa,mua,mùa,múa,mưa,mửa
ngong	ngọng,ngõng,ngong,ngỏng,ngỗng,ngồng,ngóng,ngông
muu	mứu,mưu
mut	mứt,mút,mụt
sec	séc
sem	sém
nhanh	nhảnh,nhánh,nhạnh,nhanh,nhành
nhiet	nhiệt
nhiem	nhiệm,nhiễm
vien	viển,viện,viền,viên,viễn
boi	bổi,bối,bôi,bởi,bội,bới,bói,bơi,bời,bồi,bỏi
cug	cùg,cũg,cứg,cug
cui	cùi,cũi,cúi,củi,cụi,cui,cửi
cun	cùn,cũn,cún,cun
cum	cùm,cụm,cúm,cum,củm
nghiem	nghiễm,nghiệm,nghiêm
meu	mếu,mều
xuc	xục,xực,xức,xúc
xui	xụi,xùi,xui,xúi
xup	xụp,xúp
vai	vái,vài,vai,vãi,vại,vải
vao	váo,vao,vào
vac	vác,vặc,vac,vạc,vắc
vap	váp,vập,vạp,vấp
bang	báng,bắng,bâng,bằng,bàng,băng,bạng,bẵng,bang,bảng
banh	bánh,bạnh,banh,bành,bảnh
ngheo	nghẽo,nghẹo,nghèo,nghẻo
nghen	nghẽn,nghén,nghển,nghẹn,nghền,nghèn,nghện
khat	khất,khát,khật,khắt
khau	khấu,khẩu,kháu,khâu,khau
bot	bốt,bớt,BOT,bót,bọt,bợt,bột
khan	khấn,khẳn,khản,khàn,khán,khân,khần,khan,khằn,khăn,khẩn,khắn
kham	khấm,khẳm,khảm,khẩm,khám,khâm,kham,khăm,khắm
khac	khấc,khác,khặc,khạc,khắc
bop	bốp,bớp,bộp,bóp,bợp
suoi	sưởi,suối
giut	giựt
ruoi	ruổi,rười,rưới,rưỡi,ruồi,rươi,rưởi,rượi
tien	tiện,tiên,tiễn,tiến,tiền
tiet	tiệt,tiết
hoanh	hoảnh,hoành,hoạnh,hoánh
nam	nầm,nám,nậm,năm,nam,nạm,nằm,nắm,nấm
nan	nần,nặn,nán,năn,nẫn,nàn,nan,nạn,nằn,nắn,nấn,nản
nhu	nhũ,như,nhu,nhú,nhụ,nhử,nhứ,nhừ,nhự,nhủ
hieu	hiệu,hiếu,hiểu
nhi	nhĩ,nhi,nhí,nhì,nhỉ,nhị
sang	sang,sáng,sằng,săng,sàng,sắng,sảng
nho	nhơ,nho,nhô,nhó,nhỡ,nhợ,nhỏ,nhổ,nhố,nhờ,nhớ,nhọ,nhở
ngay	ngây,ngáy,ngấy,ngầy,ngậy,ngay,ngày
nhe	nhe,nhé,nhễ,nhể,nhẽ,nhẹ,nhẻ,nhè
nha	nha,nhá,nhà,nhã,nhả
tuy	tủy,túy,tuy,tùy,tụy
tho	thở,thớ,thờ,thơ,thô,thò,tho,thổ,thồ,thố,thỏ,thọ,thợ,thó
diem	điểm,diễm,diêm,điếm,diềm,điềm,điệm
troc	tróc,trốc,trọc
xuoc	xước,xược
dum	đùm,đúm,dụm,dúm,dùm
thi	thị,thí,thì,thi,thỉ
gam	gẩm,gấm,gam,gắm,gằm,gẫm,găm,gậm,gặm,gầm
ben	ben,bên,bền,bẽn,bện,bẹn,bén,bển,bến,bèn
nhuan	nhuận,nhuần
cai	cai,cãi,cài,cái,cải
mum	mum,múm,mũm,mủm
mun	mun,mún,mùn,mủn,mụn
gun	gùn
ay	ẩy,áy,ấy
an	ẩn,an,ăn,án,ân,ấn
nheo	nhẽo,nhẹo,nheo,nhéo,nhèo
bong	bông,bộng,bõng,bong,bỗng,bồng,bòng,bỏng,bọng,bóng,bống,bổng
tiu	tĩu,tịu,tiu,tíu
bat	bạt,bát,bặt,bật,bắt,bất
bau	bạu,báu,bậu,bầu,bảu,bẩu,bâu,bấu,bàu
trich	trích,trịch
bac	bạc,bác,bậc,bắc,bấc
